date,city,latitude,longitude,temperature_c,temperature_max_c,temperature_min_c,humidite_pct,pluie_mm,precipitation_totale_mm,vitesse_vent_max_kmh,code_meteo_dominant,etat_olivier,action_recommandee
2020-12-03,Tunis,36.801403,10.170828,12.4,14.9,9.9,82,10.0,10.0,25.0,63,Risque Fongique,Traitement Préventif
2020-12-04,Tunis,36.801403,10.170828,13.1,18.4,7.8,67,0.0,0.0,13.8,2,Risque Fongique,Traitement Préventif
2020-12-05,Tunis,36.801403,10.170828,15.25,20.6,9.9,61,0.6,0.6,20.8,51,Risque Fongique,Traitement Préventif
2020-12-06,Tunis,36.801403,10.170828,10.75,14.3,7.2,75,8.1,8.1,19.9,63,État Sain,Ne rien faire
2020-12-07,Tunis,36.801403,10.170828,11.6,15.8,7.4,61,0.0,0.0,16.1,2,État Sain,Ne rien faire
2020-12-08,Tunis,36.801403,10.170828,14.55,19.5,9.6,61,3.4,3.4,20.8,61,Risque Fongique,Traitement Préventif
2020-12-09,Tunis,36.801403,10.170828,11.25,13.9,8.6,76,1.1,1.1,25.8,53,État Sain,Ne rien faire
2020-12-10,Tunis,36.801403,10.170828,10.95,15.1,6.8,73,2.3,2.3,19.3,55,État Sain,Ne rien faire
2020-12-11,Tunis,36.801403,10.170828,13.3,16.2,10.4,87,4.4,4.4,21.4,61,État Sain,Ne rien faire
2020-12-12,Tunis,36.801403,10.170828,14.1,17.0,11.2,88,1.8,1.8,28.1,53,État Sain,Ne rien faire
2020-12-13,Tunis,36.801403,10.170828,14.2,16.2,12.2,66,1.1,1.1,31.8,51,État Sain,Ne rien faire
2020-12-14,Tunis,36.801403,10.170828,13.15,17.6,8.7,76,0.0,0.0,12.1,2,État Sain,Ne rien faire
2020-12-15,Tunis,36.801403,10.170828,13.85,19.2,8.5,78,0.0,0.0,10.0,3,État Sain,Ne rien faire
2020-12-16,Tunis,36.801403,10.170828,14.9,19.9,9.9,86,0.0,0.0,9.8,3,État Sain,Ne rien faire
2020-12-17,Tunis,36.801403,10.170828,14.75,19.0,10.5,88,0.0,0.0,11.2,3,État Sain,Ne rien faire
2020-12-18,Tunis,36.801403,10.170828,15.25,19.2,11.3,88,0.1,0.1,13.7,51,État Sain,Ne rien faire
2020-12-19,Tunis,36.801403,10.170828,15.05,17.5,12.6,91,4.6,4.6,13.0,55,État Sain,Ne rien faire
2020-12-20,Tunis,36.801403,10.170828,14.0,16.3,11.7,95,6.2,6.2,9.5,61,Risque Fongique,Traitement Préventif
2020-12-21,Tunis,36.801403,10.170828,14.35,16.8,11.9,92,3.5,3.5,13.6,51,Risque Fongique,Traitement Préventif
2020-12-22,Tunis,36.801403,10.170828,13.85,17.6,10.1,89,0.6,0.6,12.7,51,Risque Fongique,Traitement Préventif
2020-12-23,Tunis,36.801403,10.170828,13.85,18.3,9.4,89,0.0,0.0,9.7,3,État Sain,Ne rien faire
2020-12-24,Tunis,36.801403,10.170828,13.95,19.1,8.8,80,0.0,0.0,13.0,1,État Sain,Ne rien faire
2020-12-25,Tunis,36.801403,10.170828,13.05,18.5,7.6,79,0.0,0.0,11.5,3,État Sain,Ne rien faire
2020-12-26,Tunis,36.801403,10.170828,10.0,12.0,8.0,82,8.1,8.1,25.3,61,État Sain,Ne rien faire
2020-12-27,Tunis,36.801403,10.170828,9.55,12.1,7.0,81,2.1,2.1,20.5,53,Risque Fongique,Traitement Préventif
2020-12-28,Tunis,36.801403,10.170828,11.85,18.4,5.3,61,0.0,0.0,18.6,0,Risque Fongique,Traitement Préventif
2020-12-29,Tunis,36.801403,10.170828,12.55,18.0,7.1,66,0.4,0.4,13.4,51,État Sain,Ne rien faire
2020-12-30,Tunis,36.801403,10.170828,10.4,14.0,6.8,79,0.9,0.9,25.2,53,État Sain,Ne rien faire
2020-12-31,Tunis,36.801403,10.170828,10.3,14.8,5.8,77,0.2,0.2,15.2,51,État Sain,Ne rien faire
2021-01-01,Tunis,36.801403,10.170828,9.3,14.9,3.7,61,0.0,0.0,20.3,0,Stress Froid,Couvrir/Protéger
2021-01-02,Tunis,36.801403,10.170828,10.05,14.2,5.9,57,0.0,0.0,17.7,3,État Sain,Ne rien faire
2021-01-03,Tunis,36.801403,10.170828,8.3,13.1,3.5,61,0.0,0.0,14.9,1,Stress Froid,Couvrir/Protéger
2021-01-04,Tunis,36.801403,10.170828,8.9,13.6,4.2,66,0.0,0.0,14.8,2,Stress Froid,Couvrir/Protéger
2021-01-05,Tunis,36.801403,10.170828,9.65,14.7,4.6,58,0.0,0.0,14.4,3,Stress Froid,Couvrir/Protéger
2021-01-06,Tunis,36.801403,10.170828,9.05,13.6,4.5,64,0.0,0.0,10.0,3,Stress Froid,Couvrir/Protéger
2021-01-07,Tunis,36.801403,10.170828,12.5,20.8,4.2,64,0.0,0.0,17.0,3,Stress Froid,Couvrir/Protéger
2021-01-08,Tunis,36.801403,10.170828,16.2,24.0,8.4,81,0.0,0.0,19.8,3,État Sain,Ne rien faire
2021-01-09,Tunis,36.801403,10.170828,19.2,27.3,11.1,64,0.0,0.0,21.2,3,État Sain,Ne rien faire
2021-01-10,Tunis,36.801403,10.170828,14.75,17.8,11.7,85,1.3,1.3,13.5,53,État Sain,Ne rien faire
2021-01-11,Tunis,36.801403,10.170828,12.15,15.8,8.5,82,0.5,0.5,12.1,51,État Sain,Ne rien faire
2021-01-12,Tunis,36.801403,10.170828,10.35,12.3,8.4,77,1.1,1.1,32.4,53,État Sain,Ne rien faire
2021-01-13,Tunis,36.801403,10.170828,13.4,15.0,11.8,66,0.0,0.0,38.1,3,État Sain,Ne rien faire
2021-01-14,Tunis,36.801403,10.170828,14.2,16.2,12.2,68,0.0,0.0,31.8,3,État Sain,Ne rien faire
2021-01-15,Tunis,36.801403,10.170828,13.65,15.6,11.7,62,0.0,0.0,32.1,3,État Sain,Ne rien faire
2021-01-16,Tunis,36.801403,10.170828,10.1,12.1,8.1,71,1.0,1.0,25.0,51,État Sain,Ne rien faire
2021-01-17,Tunis,36.801403,10.170828,11.35,15.4,7.3,69,0.1,0.1,30.4,51,État Sain,Ne rien faire
2021-01-18,Tunis,36.801403,10.170828,11.4,14.3,8.5,69,0.6,0.6,24.7,51,État Sain,Ne rien faire
2021-01-19,Tunis,36.801403,10.170828,10.65,14.9,6.4,74,0.0,0.0,10.2,2,État Sain,Ne rien faire
2021-01-20,Tunis,36.801403,10.170828,13.05,19.5,6.6,56,0.0,0.0,15.7,3,État Sain,Ne rien faire
2021-01-21,Tunis,36.801403,10.170828,12.85,16.9,8.8,50,0.0,0.0,16.2,3,État Sain,Ne rien faire
2021-01-22,Tunis,36.801403,10.170828,13.35,19.9,6.8,57,0.2,0.2,17.3,51,État Sain,Ne rien faire
2021-01-23,Tunis,36.801403,10.170828,12.9,16.1,9.7,72,2.2,2.2,23.8,61,État Sain,Ne rien faire
2021-01-24,Tunis,36.801403,10.170828,14.4,19.8,9.0,64,0.8,0.8,29.5,53,État Sain,Ne rien faire
2021-01-25,Tunis,36.801403,10.170828,13.65,18.4,8.9,72,0.0,0.0,19.7,3,État Sain,Ne rien faire
2021-01-26,Tunis,36.801403,10.170828,12.0,14.1,9.9,67,4.6,4.6,35.4,61,État Sain,Ne rien faire
2021-01-27,Tunis,36.801403,10.170828,12.5,15.8,9.2,68,2.0,2.0,18.7,53,État Sain,Ne rien faire
2021-01-28,Tunis,36.801403,10.170828,15.9,18.9,12.9,82,0.2,0.2,23.1,51,État Sain,Ne rien faire
2021-01-29,Tunis,36.801403,10.170828,18.35,23.6,13.1,68,0.0,0.0,18.9,3,État Sain,Ne rien faire
2021-01-30,Tunis,36.801403,10.170828,17.6,24.2,11.0,70,0.0,0.0,17.3,3,État Sain,Ne rien faire
2021-01-31,Tunis,36.801403,10.170828,13.75,15.4,12.1,72,2.0,2.0,28.1,53,État Sain,Ne rien faire
2021-02-01,Tunis,36.801403,10.170828,13.75,16.7,10.8,76,2.4,2.4,23.0,55,État Sain,Ne rien faire
2021-02-02,Tunis,36.801403,10.170828,15.2,19.2,11.2,75,0.0,0.0,25.5,2,État Sain,Ne rien faire
2021-02-03,Tunis,36.801403,10.170828,16.95,23.8,10.1,74,0.0,0.0,11.8,2,État Sain,Ne rien faire
2021-02-04,Tunis,36.801403,10.170828,17.15,24.3,10.0,69,0.0,0.0,12.3,3,État Sain,Ne rien faire
2021-02-05,Tunis,36.801403,10.170828,18.65,25.3,12.0,51,0.0,0.0,14.8,2,État Sain,Ne rien faire
2021-02-06,Tunis,36.801403,10.170828,19.65,27.1,12.2,40,0.0,0.0,20.1,3,État Sain,Ne rien faire
2021-02-07,Tunis,36.801403,10.170828,15.45,20.0,10.9,68,8.2,8.2,18.5,61,État Sain,Ne rien faire
2021-02-08,Tunis,36.801403,10.170828,14.8,18.9,10.7,68,0.1,0.1,23.7,51,État Sain,Ne rien faire
2021-02-09,Tunis,36.801403,10.170828,15.1,20.0,10.2,65,0.0,0.0,20.2,3,État Sain,Ne rien faire
2021-02-10,Tunis,36.801403,10.170828,16.1,23.0,9.2,61,3.3,3.3,26.2,55,État Sain,Ne rien faire
2021-02-11,Tunis,36.801403,10.170828,13.85,18.4,9.3,65,0.0,0.0,23.7,3,État Sain,Ne rien faire
2021-02-12,Tunis,36.801403,10.170828,14.85,21.2,8.5,73,0.0,0.0,11.2,2,État Sain,Ne rien faire
2021-02-13,Tunis,36.801403,10.170828,13.45,15.9,11.0,83,5.5,5.5,33.2,55,État Sain,Ne rien faire
2021-02-14,Tunis,36.801403,10.170828,9.3,11.0,7.6,64,0.1,0.1,25.6,51,État Sain,Ne rien faire
2021-02-15,Tunis,36.801403,10.170828,9.25,10.9,7.6,51,0.0,0.0,19.2,3,État Sain,Ne rien faire
2021-02-16,Tunis,36.801403,10.170828,8.95,15.0,2.9,67,0.0,0.0,10.6,1,Stress Froid,Couvrir/Protéger
2021-02-17,Tunis,36.801403,10.170828,12.3,19.9,4.7,78,0.0,0.0,10.7,3,Stress Froid,Couvrir/Protéger
2021-02-18,Tunis,36.801403,10.170828,12.0,17.8,6.2,88,0.0,0.0,11.0,3,État Sain,Ne rien faire
2021-02-19,Tunis,36.801403,10.170828,14.9,21.8,8.0,76,0.0,0.0,9.9,3,État Sain,Ne rien faire
2021-02-20,Tunis,36.801403,10.170828,14.05,21.8,6.3,64,0.0,0.0,13.6,3,État Sain,Ne rien faire
2021-02-21,Tunis,36.801403,10.170828,15.0,21.4,8.6,73,0.0,0.0,19.6,2,État Sain,Ne rien faire
2021-02-22,Tunis,36.801403,10.170828,15.8,19.4,12.2,78,0.0,0.0,22.8,3,État Sain,Ne rien faire
2021-02-23,Tunis,36.801403,10.170828,14.65,18.5,10.8,77,0.0,0.0,17.3,3,État Sain,Ne rien faire
2021-02-24,Tunis,36.801403,10.170828,13.5,18.0,9.0,85,0.0,0.0,10.7,3,État Sain,Ne rien faire
2021-02-25,Tunis,36.801403,10.170828,12.5,17.7,7.3,89,0.0,0.0,10.3,3,État Sain,Ne rien faire
2021-02-26,Tunis,36.801403,10.170828,12.6,17.4,7.8,88,0.0,0.0,11.5,3,État Sain,Ne rien faire
2021-02-27,Tunis,36.801403,10.170828,12.45,18.6,6.3,87,0.0,0.0,16.8,3,État Sain,Ne rien faire
2021-02-28,Tunis,36.801403,10.170828,13.1,17.2,9.0,86,0.0,0.0,18.9,3,État Sain,Ne rien faire
2021-03-01,Tunis,36.801403,10.170828,13.4,19.3,7.5,79,0.0,0.0,15.3,2,État Sain,Ne rien faire
2021-03-02,Tunis,36.801403,10.170828,14.9,19.2,10.6,80,0.2,0.2,21.7,51,État Sain,Ne rien faire
2021-03-03,Tunis,36.801403,10.170828,14.35,17.5,11.2,78,0.0,0.0,20.0,3,État Sain,Ne rien faire
2021-03-04,Tunis,36.801403,10.170828,13.35,17.6,9.1,82,0.5,0.5,19.0,51,État Sain,Ne rien faire
2021-03-05,Tunis,36.801403,10.170828,13.25,16.7,9.8,88,1.1,1.1,8.8,53,État Sain,Ne rien faire
2021-03-06,Tunis,36.801403,10.170828,14.3,19.5,9.1,85,0.1,0.1,11.9,51,État Sain,Ne rien faire
2021-03-07,Tunis,36.801403,10.170828,15.05,20.0,10.1,80,0.0,0.0,19.2,3,État Sain,Ne rien faire
2021-03-08,Tunis,36.801403,10.170828,15.5,19.5,11.5,83,0.7,0.7,11.1,51,État Sain,Ne rien faire
2021-03-09,Tunis,36.801403,10.170828,13.95,17.2,10.7,90,6.5,6.5,12.6,63,État Sain,Ne rien faire
2021-03-10,Tunis,36.801403,10.170828,13.5,16.7,10.3,70,0.0,0.0,26.8,3,État Sain,Ne rien faire
2021-03-11,Tunis,36.801403,10.170828,12.45,17.2,7.7,68,0.0,0.0,14.0,3,État Sain,Ne rien faire
2021-03-12,Tunis,36.801403,10.170828,14.7,21.6,7.8,69,0.0,0.0,14.8,1,État Sain,Ne rien faire
2021-03-13,Tunis,36.801403,10.170828,14.3,19.8,8.8,73,0.0,0.0,17.9,3,État Sain,Ne rien faire
2021-03-14,Tunis,36.801403,10.170828,13.15,18.2,8.1,71,0.6,0.6,21.1,53,État Sain,Ne rien faire
2021-03-15,Tunis,36.801403,10.170828,13.6,16.5,10.7,61,0.0,0.0,35.4,3,État Sain,Ne rien faire
2021-03-16,Tunis,36.801403,10.170828,14.1,16.8,11.4,62,0.7,0.7,40.1,51,État Sain,Ne rien faire
2021-03-17,Tunis,36.801403,10.170828,13.2,16.6,9.8,70,2.1,2.1,21.2,53,État Sain,Ne rien faire
2021-03-18,Tunis,36.801403,10.170828,12.95,17.5,8.4,70,0.1,0.1,25.5,51,État Sain,Ne rien faire
2021-03-19,Tunis,36.801403,10.170828,10.35,12.7,8.0,88,18.2,18.2,10.3,63,Risque Fongique,Traitement Préventif
2021-03-20,Tunis,36.801403,10.170828,11.95,13.6,10.3,96,21.2,21.2,16.6,63,Risque Fongique,Traitement Préventif
2021-03-21,Tunis,36.801403,10.170828,8.85,11.4,6.3,88,8.4,8.4,22.6,61,Risque Fongique,Traitement Préventif
2021-03-22,Tunis,36.801403,10.170828,9.8,13.4,6.2,67,0.4,0.4,19.6,51,Risque Fongique,Traitement Préventif
2021-03-23,Tunis,36.801403,10.170828,10.8,14.9,6.7,62,0.0,0.0,29.1,2,État Sain,Ne rien faire
2021-03-24,Tunis,36.801403,10.170828,11.55,16.1,7.0,74,0.1,0.1,15.7,51,État Sain,Ne rien faire
2021-03-25,Tunis,36.801403,10.170828,12.95,18.1,7.8,81,0.0,0.0,10.9,2,État Sain,Ne rien faire
2021-03-26,Tunis,36.801403,10.170828,13.95,21.1,6.8,76,0.0,0.0,10.2,3,État Sain,Ne rien faire
2021-03-27,Tunis,36.801403,10.170828,17.7,25.9,9.5,62,0.0,0.0,13.7,3,État Sain,Ne rien faire
2021-03-28,Tunis,36.801403,10.170828,16.1,22.0,10.2,79,0.0,0.0,12.5,3,État Sain,Ne rien faire
2021-03-29,Tunis,36.801403,10.170828,14.7,19.9,9.5,85,0.0,0.0,13.8,3,État Sain,Ne rien faire
2021-03-30,Tunis,36.801403,10.170828,14.55,19.7,9.4,84,0.0,0.0,14.5,3,État Sain,Ne rien faire
2021-03-31,Tunis,36.801403,10.170828,14.55,19.8,9.3,85,0.0,0.0,12.0,3,État Sain,Ne rien faire
2021-04-01,Tunis,36.801403,10.170828,16.15,22.3,10.0,73,0.0,0.0,14.5,3,État Sain,Ne rien faire
2021-04-02,Tunis,36.801403,10.170828,18.3,26.1,10.5,66,0.0,0.0,13.9,3,État Sain,Ne rien faire
2021-04-03,Tunis,36.801403,10.170828,17.9,23.2,12.6,75,0.0,0.0,14.0,3,État Sain,Ne rien faire
2021-04-04,Tunis,36.801403,10.170828,16.75,21.0,12.5,74,0.0,0.0,18.2,3,État Sain,Ne rien faire
2021-04-05,Tunis,36.801403,10.170828,15.15,18.1,12.2,82,1.1,1.1,15.9,53,État Sain,Ne rien faire
2021-04-06,Tunis,36.801403,10.170828,16.75,22.4,11.1,64,0.0,0.0,18.9,0,État Sain,Ne rien faire
2021-04-07,Tunis,36.801403,10.170828,14.8,19.3,10.3,66,0.0,0.0,21.8,3,État Sain,Ne rien faire
2021-04-08,Tunis,36.801403,10.170828,12.3,15.7,8.9,60,0.0,0.0,15.8,3,État Sain,Ne rien faire
2021-04-09,Tunis,36.801403,10.170828,13.25,19.2,7.3,66,0.0,0.0,23.9,3,État Sain,Ne rien faire
2021-04-10,Tunis,36.801403,10.170828,16.65,21.1,12.2,64,0.0,0.0,25.5,3,État Sain,Ne rien faire
2021-04-11,Tunis,36.801403,10.170828,17.9,22.2,13.6,75,0.8,0.8,20.8,53,État Sain,Ne rien faire
2021-04-12,Tunis,36.801403,10.170828,17.55,22.3,12.8,83,4.1,4.1,14.5,53,État Sain,Ne rien faire
2021-04-13,Tunis,36.801403,10.170828,15.0,19.0,11.0,63,0.0,0.0,23.7,3,État Sain,Ne rien faire
2021-04-14,Tunis,36.801403,10.170828,13.2,18.5,7.9,76,3.1,3.1,14.8,61,État Sain,Ne rien faire
2021-04-15,Tunis,36.801403,10.170828,14.2,15.4,13.0,93,9.9,9.9,15.5,55,Risque Fongique,Traitement Préventif
2021-04-16,Tunis,36.801403,10.170828,15.55,17.6,13.5,85,3.4,3.4,25.2,53,Risque Fongique,Traitement Préventif
2021-04-17,Tunis,36.801403,10.170828,11.95,14.2,9.7,95,13.5,13.5,12.4,61,Risque Fongique,Traitement Préventif
2021-04-18,Tunis,36.801403,10.170828,12.0,16.5,7.5,76,1.5,1.5,22.1,55,Risque Fongique,Traitement Préventif
2021-04-19,Tunis,36.801403,10.170828,12.95,17.0,8.9,69,1.0,1.0,21.3,51,Risque Fongique,Traitement Préventif
2021-04-20,Tunis,36.801403,10.170828,15.85,23.5,8.2,67,0.0,0.0,13.0,3,État Sain,Ne rien faire
2021-04-21,Tunis,36.801403,10.170828,16.2,22.8,9.6,76,0.1,0.1,17.3,51,État Sain,Ne rien faire
2021-04-22,Tunis,36.801403,10.170828,19.35,23.6,15.1,77,1.1,1.1,13.6,51,État Sain,Ne rien faire
2021-04-23,Tunis,36.801403,10.170828,14.9,16.3,13.5,95,42.3,42.3,21.0,65,Risque Fongique,Traitement Préventif
2021-04-24,Tunis,36.801403,10.170828,16.05,20.1,12.0,81,0.2,0.2,15.0,51,Risque Fongique,Traitement Préventif
2021-04-25,Tunis,36.801403,10.170828,17.35,24.3,10.4,72,0.0,0.0,16.0,3,Risque Fongique,Traitement Préventif
2021-04-26,Tunis,36.801403,10.170828,18.95,24.3,13.6,69,0.0,0.0,22.2,3,État Sain,Ne rien faire
2021-04-27,Tunis,36.801403,10.170828,18.15,22.7,13.6,81,0.0,0.0,14.8,3,État Sain,Ne rien faire
2021-04-28,Tunis,36.801403,10.170828,19.25,25.1,13.4,76,0.0,0.0,15.3,2,État Sain,Ne rien faire
2021-04-29,Tunis,36.801403,10.170828,19.35,25.0,13.7,75,0.0,0.0,14.8,1,État Sain,Ne rien faire
2021-04-30,Tunis,36.801403,10.170828,22.6,30.9,14.3,62,0.0,0.0,22.2,3,État Sain,Ne rien faire
2021-05-01,Tunis,36.801403,10.170828,22.25,27.9,16.6,64,3.5,3.5,17.9,61,État Sain,Ne rien faire
2021-05-02,Tunis,36.801403,10.170828,18.1,21.6,14.6,79,0.0,0.0,15.3,3,État Sain,Ne rien faire
2021-05-03,Tunis,36.801403,10.170828,16.4,18.9,13.9,90,17.3,17.3,12.0,63,Risque Fongique,Traitement Préventif
2021-05-04,Tunis,36.801403,10.170828,20.85,28.4,13.3,72,0.0,0.0,18.6,3,Risque Fongique,Traitement Préventif
2021-05-05,Tunis,36.801403,10.170828,17.9,21.0,14.8,87,0.7,0.7,12.5,51,Risque Fongique,Traitement Préventif
2021-05-06,Tunis,36.801403,10.170828,17.9,21.3,14.5,88,9.0,9.0,11.2,63,État Sain,Ne rien faire
2021-05-07,Tunis,36.801403,10.170828,18.85,23.7,14.0,79,2.0,2.0,14.2,51,Risque Fongique,Traitement Préventif
2021-05-08,Tunis,36.801403,10.170828,20.0,26.4,13.6,75,0.0,0.0,12.7,0,Risque Fongique,Traitement Préventif
2021-05-09,Tunis,36.801403,10.170828,20.95,29.5,12.4,65,0.0,0.0,19.3,3,État Sain,Ne rien faire
2021-05-10,Tunis,36.801403,10.170828,22.05,27.7,16.4,57,0.0,0.0,19.6,2,État Sain,Ne rien faire
2021-05-11,Tunis,36.801403,10.170828,20.55,24.8,16.3,71,0.0,0.0,26.8,3,État Sain,Ne rien faire
2021-05-12,Tunis,36.801403,10.170828,18.75,23.4,14.1,59,0.0,0.0,19.2,2,État Sain,Ne rien faire
2021-05-13,Tunis,36.801403,10.170828,20.45,27.3,13.6,63,0.0,0.0,16.9,2,État Sain,Ne rien faire
2021-05-14,Tunis,36.801403,10.170828,20.6,27.4,13.8,65,0.0,0.0,18.5,3,État Sain,Ne rien faire
2021-05-15,Tunis,36.801403,10.170828,19.55,24.3,14.8,61,0.0,0.0,15.3,3,État Sain,Ne rien faire
2021-05-16,Tunis,36.801403,10.170828,23.7,33.8,13.6,56,0.0,0.0,13.1,2,État Sain,Ne rien faire
2021-05-17,Tunis,36.801403,10.170828,22.75,29.8,15.7,61,0.0,0.0,14.5,3,État Sain,Ne rien faire
2021-05-18,Tunis,36.801403,10.170828,20.65,25.1,16.2,66,0.0,0.0,13.1,3,État Sain,Ne rien faire
2021-05-19,Tunis,36.801403,10.170828,21.45,27.7,15.2,63,0.0,0.0,16.4,3,État Sain,Ne rien faire
2021-05-20,Tunis,36.801403,10.170828,19.8,23.8,15.8,56,0.0,0.0,26.2,3,État Sain,Ne rien faire
2021-05-21,Tunis,36.801403,10.170828,19.85,26.5,13.2,64,0.0,0.0,19.6,3,État Sain,Ne rien faire
2021-05-22,Tunis,36.801403,10.170828,26.25,34.8,17.7,56,0.0,0.0,18.6,2,État Sain,Ne rien faire
2021-05-23,Tunis,36.801403,10.170828,26.45,35.4,17.5,57,0.0,0.0,19.2,2,Stress Chaleur,Ombrage/Rafraîchissement
2021-05-24,Tunis,36.801403,10.170828,22.95,28.0,17.9,61,0.0,0.0,24.1,2,État Sain,Ne rien faire
2021-05-25,Tunis,36.801403,10.170828,20.700000000000003,25.3,16.1,67,0.0,0.0,16.5,3,État Sain,Ne rien faire
2021-05-26,Tunis,36.801403,10.170828,21.1,28.3,13.9,59,0.0,0.0,15.6,3,État Sain,Ne rien faire
2021-05-27,Tunis,36.801403,10.170828,22.5,27.2,17.8,63,0.0,0.0,16.1,3,État Sain,Ne rien faire
2021-05-28,Tunis,36.801403,10.170828,21.3,25.4,17.2,73,0.0,0.0,16.9,3,État Sain,Ne rien faire
2021-05-29,Tunis,36.801403,10.170828,21.6,26.4,16.8,76,0.0,0.0,14.2,3,État Sain,Ne rien faire
2021-05-30,Tunis,36.801403,10.170828,23.3,29.8,16.8,57,0.0,0.0,16.6,3,État Sain,Ne rien faire
2021-05-31,Tunis,36.801403,10.170828,22.950000000000003,29.3,16.6,69,0.0,0.0,18.6,3,État Sain,Ne rien faire
2021-06-01,Tunis,36.801403,10.170828,21.95,27.0,16.9,78,1.9,1.9,16.3,61,État Sain,Ne rien faire
2021-06-02,Tunis,36.801403,10.170828,23.8,29.2,18.4,69,0.0,0.0,21.0,3,État Sain,Ne rien faire
2021-06-03,Tunis,36.801403,10.170828,23.95,29.2,18.7,70,0.0,0.0,19.4,3,État Sain,Ne rien faire
2021-06-04,Tunis,36.801403,10.170828,25.45,31.7,19.2,63,0.0,0.0,19.3,3,État Sain,Ne rien faire
2021-06-05,Tunis,36.801403,10.170828,27.05,33.9,20.2,51,0.0,0.0,21.8,3,État Sain,Ne rien faire
2021-06-06,Tunis,36.801403,10.170828,27.5,33.9,21.1,48,0.0,0.0,20.8,3,État Sain,Ne rien faire
2021-06-07,Tunis,36.801403,10.170828,24.35,28.7,20.0,61,0.0,0.0,23.2,3,État Sain,Ne rien faire
2021-06-08,Tunis,36.801403,10.170828,23.6,29.2,18.0,54,0.0,0.0,19.2,0,État Sain,Ne rien faire
2021-06-09,Tunis,36.801403,10.170828,22.9,28.8,17.0,58,0.0,0.0,23.1,3,État Sain,Ne rien faire
2021-06-10,Tunis,36.801403,10.170828,23.2,27.9,18.5,67,2.4,2.4,16.6,61,État Sain,Ne rien faire
2021-06-11,Tunis,36.801403,10.170828,23.55,29.8,17.3,71,0.0,0.0,16.8,3,État Sain,Ne rien faire
2021-06-12,Tunis,36.801403,10.170828,23.35,29.2,17.5,72,0.0,0.0,14.3,3,État Sain,Ne rien faire
2021-06-13,Tunis,36.801403,10.170828,23.85,30.5,17.2,65,0.0,0.0,14.0,3,État Sain,Ne rien faire
2021-06-14,Tunis,36.801403,10.170828,25.5,32.9,18.1,64,0.0,0.0,15.3,2,État Sain,Ne rien faire
2021-06-15,Tunis,36.801403,10.170828,24.55,31.9,17.2,69,0.0,0.0,18.3,0,État Sain,Ne rien faire
2021-06-16,Tunis,36.801403,10.170828,27.0,35.6,18.4,56,0.0,0.0,20.7,0,Stress Chaleur,Ombrage/Rafraîchissement
2021-06-17,Tunis,36.801403,10.170828,27.450000000000003,33.2,21.7,59,0.1,0.1,18.8,51,État Sain,Ne rien faire
2021-06-18,Tunis,36.801403,10.170828,28.3,35.6,21.0,53,0.0,0.0,17.7,3,Stress Chaleur,Ombrage/Rafraîchissement
2021-06-19,Tunis,36.801403,10.170828,30.65,39.0,22.3,45,0.0,0.0,13.2,3,Stress Chaleur,Ombrage/Rafraîchissement
2021-06-20,Tunis,36.801403,10.170828,32.0,40.1,23.9,38,0.0,0.0,18.5,3,Stress Chaleur,Ombrage/Rafraîchissement
2021-06-21,Tunis,36.801403,10.170828,30.6,39.2,22.0,59,0.0,0.0,24.5,3,Stress Chaleur,Ombrage/Rafraîchissement
